StationID,Duration,SensorNumber,SensorType,DateTime,ObsDate,Value,DataFlag,SensorUnits
DTO,D,23,OUTFLOW,2021-02-12T08:00:00Z,2021-02-12T08:00:00Z,9638,,CFS
DTO,D,23,OUTFLOW,2021-02-13T08:00:00Z,2021-02-13T08:00:00Z,10405,,CFS
DTO,D,23,OUTFLOW,2021-02-14T08:00:00Z,2021-02-14T08:00:00Z,10230,,CFS
DTO,D,23,OUTFLOW,2021-02-15T08:00:00Z,2021-02-15T08:00:00Z,11127,,CFS
DTO,D,23,OUTFLOW,2021-02-16T08:00:00Z,2021-02-16T08:00:00Z,10184,,CFS
DTO,D,23,OUTFLOW,2021-02-17T08:00:00Z,2021-02-17T08:00:00Z,9100,,CFS
DTO,D,23,OUTFLOW,2021-02-18T08:00:00Z,2021-02-18T08:00:00Z,8494,,CFS
DTO,D,23,OUTFLOW,2021-02-19T08:00:00Z,2021-02-19T08:00:00Z,8103,,CFS
DTO,D,23,OUTFLOW,2021-02-20T08:00:00Z,2021-02-20T08:00:00Z,7301,,CFS
DTO,D,23,OUTFLOW,2021-02-21T08:00:00Z,2021-02-21T08:00:00Z,6687,,CFS
DTO,D,23,OUTFLOW,2021-02-22T08:00:00Z,2021-02-22T08:00:00Z,7418,,CFS
DTO,D,23,OUTFLOW,2021-02-23T08:00:00Z,2021-02-23T08:00:00Z,7348,,CFS
DTO,D,23,OUTFLOW,2021-02-24T08:00:00Z,2021-02-24T08:00:00Z,7268,,CFS
DTO,D,23,OUTFLOW,2021-02-25T08:00:00Z,2021-02-25T08:00:00Z,7572,,CFS
DTO,D,23,OUTFLOW,2021-02-26T08:00:00Z,2021-02-26T08:00:00Z,6685,,CFS
DTO,D,23,OUTFLOW,2021-02-27T08:00:00Z,2021-02-27T08:00:00Z,7322,,CFS
DTO,D,23,OUTFLOW,2021-02-28T08:00:00Z,2021-02-28T08:00:00Z,7874,,CFS
DTO,D,23,OUTFLOW,2021-03-01T08:00:00Z,2021-03-01T08:00:00Z,6933,,CFS
DTO,D,23,OUTFLOW,2021-03-02T08:00:00Z,2021-03-02T08:00:00Z,7265,,CFS
DTO,D,23,OUTFLOW,2021-03-03T08:00:00Z,2021-03-03T08:00:00Z,7142,,CFS
DTO,D,23,OUTFLOW,2021-03-04T08:00:00Z,2021-03-04T08:00:00Z,7065,,CFS
DTO,D,23,OUTFLOW,2021-03-05T08:00:00Z,2021-03-05T08:00:00Z,7627,,CFS
DTO,D,23,OUTFLOW,2021-03-06T08:00:00Z,2021-03-06T08:00:00Z,6894,,CFS
DTO,D,23,OUTFLOW,2021-03-07T08:00:00Z,2021-03-07T08:00:00Z,7485,,CFS
DTO,D,23,OUTFLOW,2021-03-08T08:00:00Z,2021-03-08T08:00:00Z,7256,,CFS
DTO,D,23,OUTFLOW,2021-03-09T08:00:00Z,2021-03-09T08:00:00Z,7155,,CFS
DTO,D,23,OUTFLOW,2021-03-10T08:00:00Z,2021-03-10T08:00:00Z,8435,,CFS
DTO,D,23,OUTFLOW,2021-03-11T08:00:00Z,2021-03-11T08:00:00Z,9222,,CFS
DTO,D,23,OUTFLOW,2021-03-12T08:00:00Z,2021-03-12T08:00:00Z,11092,,CFS
DTO,D,23,OUTFLOW,2021-03-13T08:00:00Z,2021-03-13T08:00:00Z,12303,,CFS
DTO,D,23,OUTFLOW,2021-03-14T08:00:00Z,2021-03-14T08:00:00Z,12308,,CFS
DTO,D,23,OUTFLOW,2021-03-15T07:00:00Z,2021-03-15T07:00:00Z,10051,,CFS
DTO,D,23,OUTFLOW,2021-03-16T07:00:00Z,2021-03-16T07:00:00Z,7444,,CFS
DTO,D,23,OUTFLOW,2021-03-17T07:00:00Z,2021-03-17T07:00:00Z,7261,,CFS
DTO,D,23,OUTFLOW,2021-03-18T07:00:00Z,2021-03-18T07:00:00Z,7375,,CFS
DTO,D,23,OUTFLOW,2021-03-19T07:00:00Z,2021-03-19T07:00:00Z,11139,,CFS
DTO,D,23,OUTFLOW,2021-03-20T07:00:00Z,2021-03-20T07:00:00Z,12553,,CFS
DTO,D,23,OUTFLOW,2021-03-21T07:00:00Z,2021-03-21T07:00:00Z,12664,,CFS
DTO,D,23,OUTFLOW,2021-03-22T07:00:00Z,2021-03-22T07:00:00Z,13195,,CFS
DTO,D,23,OUTFLOW,2021-03-23T07:00:00Z,2021-03-23T07:00:00Z,13599,,CFS
DTO,D,23,OUTFLOW,2021-03-24T07:00:00Z,2021-03-24T07:00:00Z,11227,,CFS
DTO,D,23,OUTFLOW,2021-03-25T07:00:00Z,2021-03-25T07:00:00Z,9305,,CFS
DTO,D,23,OUTFLOW,2021-03-26T07:00:00Z,2021-03-26T07:00:00Z,8342,,CFS
DTO,D,23,OUTFLOW,2021-03-27T07:00:00Z,2021-03-27T07:00:00Z,8167,,CFS
