STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DTO,D,23,OUTFLOW,,20210909,"3,257",,CFS
DTO,D,23,OUTFLOW,,20210910,"-4,313",,CFS
DTO,D,23,OUTFLOW,,20210911,"-3,951",,CFS
DTO,D,23,OUTFLOW,,20210912,"-3,847",,CFS
DTO,D,23,OUTFLOW,,20210913,"-3,730",,CFS
DTO,D,23,OUTFLOW,,20210914,"-3,756",,CFS
DTO,D,23,OUTFLOW,,20210915,"3,048",,CFS
DTO,D,23,OUTFLOW,,20210916,"2,735",,CFS
DTO,D,23,OUTFLOW,,20210917,"2,963",,CFS
DTO,D,23,OUTFLOW,,20210918,"2,773",,CFS
DTO,D,23,OUTFLOW,,20210919,"2,576",,CFS
DTO,D,23,OUTFLOW,,20210920,"3,072",,CFS
DTO,D,23,OUTFLOW,,20210921,"2,803",,CFS
DTO,D,23,OUTFLOW,,20210922,"2,777",,CFS
DTO,D,23,OUTFLOW,,20210923,"2,346",,CFS
DTO,D,23,OUTFLOW,,20210924,"2,258",,CFS
DTO,D,23,OUTFLOW,,20210925,"2,410",,CFS
DTO,D,23,OUTFLOW,,20210926,"2,240",,CFS
DTO,D,23,OUTFLOW,,20210927,"2,058",,CFS
DTO,D,23,OUTFLOW,,20210928,"2,064",,CFS
DTO,D,23,OUTFLOW,,20210929,"3,448",,CFS
DTO,D,23,OUTFLOW,,20210930,"3,951",,CFS
DTO,D,23,OUTFLOW,,20211001,"3,765",,CFS
DTO,D,23,OUTFLOW,,20211002,"3,230",,CFS
DTO,D,23,OUTFLOW,,20211003,"3,227",,CFS
DTO,D,23,OUTFLOW,,20211004,"3,326",,CFS
DTO,D,23,OUTFLOW,,20211005,,,CFS
